Event Type,Event Name,Request ID,User ID,Request Parameters,Alert,Event ID,Event DateTime,Alarm DateTime,Source IP,Request User Agent,Repeated Attempts
AwsApiCall,ListObjects,E2E91AQVN6DJHZ91,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3-eu-west-1.amazonaws.com'}", 302-2022-02-18T17:34:57Z,283770f5-968d-448d-9328-0b010f4d3696,2022-02-18T17:34:57Z,2022-02-18T17:39:28.127636+00:00,177.131.167.145,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36",4
AwsApiCall,ListObjects,HQG7RFA8C71N4YX1,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 301-2022-02-18T14:54:56Z,efb7c8fa-b38e-4710-9e84-6289bfad8057,2022-02-18T14:54:56Z,2022-02-18T14:59:14.075373+00:00,212.83.184.16,Boto3/1.17.40 Python/3.6.12 Linux/3.10.0-1160.6.1.el7.x86_64 Botocore/1.20.112,1
AwsApiCall,ListObjects,52VVZ4G5FW98VCH6,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'list-type': '2', 'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com', 'encoding-type': 'url'}", 300-2022-02-17T14:18:02Z,b0ab3ce6-d364-4990-bb52-e3f52a6c6ee1,2022-02-17T14:18:02Z,2022-02-17T14:19:37.875947+00:00,212.83.184.13,Boto3/1.17.40 Python/3.6.12 Linux/3.10.0-1160.6.1.el7.x86_64 Botocore/1.20.112,1
AwsApiCall,ListObjects,5V5JKDADPM7JGBQV,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'list-type': '2', 'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com', 'encoding-type': 'url'}", 299-2022-02-17T10:34:18Z,587a8b32-c614-4867-94cc-81a5ab39b790,2022-02-17T10:34:18Z,2022-02-17T10:37:27.400819+00:00,109.70.66.85,Go-http-client/1.1,1
AwsApiCall,HeadBucket,Z769P301RPQS9641,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 298-2022-02-16T16:57:17Z,4528f7f4-b1c2-4771-84ae-ceec55a30664,2022-02-16T16:57:17Z,2022-02-16T17:01:00.772363+00:00,194.126.177.33,,1
AwsApiCall,ListObjects,3QTT86HJ4ASGR98E,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com'}", 297-2022-02-16T14:17:10Z,01c67079-e407-4aef-ae28-cf300a998840,2022-02-16T14:17:10Z,2022-02-16T14:20:47.752885+00:00,212.83.184.12,Boto3/1.17.40 Python/3.6.12 Linux/3.10.0-1160.6.1.el7.x86_64 Botocore/1.20.112,1
AwsApiCall,ListObjects,MJ6M0CJKWCJC4A02,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'list-type': '2', 'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com', 'encoding-type': 'url'}", 296-2022-02-15T19:14:12Z,ebe16426-9397-4276-a585-e8d5fe673e9a,2022-02-15T19:14:12Z,2022-02-15T19:18:41.984258+00:00,212.83.184.14,Boto3/1.17.40 Python/3.6.12 Linux/3.10.0-1160.6.1.el7.x86_64 Botocore/1.20.112,1
AwsApiCall,ListObjects,A4FQ4D6WSKR6STKM,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'list-type': '2', 'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com', 'encoding-type': 'url'}", 295-2022-02-15T14:28:17Z,af957ae7-3ab1-4ab7-a5c5-966448dcf932,2022-02-15T14:28:17Z,2022-02-15T14:29:17.782656+00:00,212.83.184.15,Boto3/1.17.40 Python/3.6.12 Linux/3.10.0-1160.6.1.el7.x86_64 Botocore/1.20.112,1
AwsApiCall,ListObjects,6NWX1PM04QHXP3E4,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'list-type': '2', 'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com', 'encoding-type': 'url'}", 294-2022-02-14T18:48:34Z,ef413493-52d0-4ac2-b836-b76531a98456,2022-02-14T18:48:34Z,2022-02-14T18:51:06.588792+00:00,212.83.184.16,Boto3/1.17.40 Python/3.6.12 Linux/3.10.0-1160.6.1.el7.x86_64 Botocore/1.20.112,1
AwsApiCall,ListObjects,BZ4Z69M8Q3PW5V1X,"{'type': 'AWSAccount', 'principalId': '', 'accountId': 'ANONYMOUS_PRINCIPAL'}","{'list-type': '2', 'bucketName': 'microsoft-devtest', 'Host': 'microsoft-devtest.s3.amazonaws.com', 'encoding-type': 'url'}", 293-2022-02-13T18:25:26Z,e998d49b-bea7-4ffe-8f51-efeb1061c3d5,2022-02-13T18:25:26Z,2022-02-13T18:28:36.342570+00:00,212.83.184.12,Boto3/1.17.40 Python/3.6.12 Linux/3.10.0-1160.6.1.el7.x86_64 Botocore/1.20.112,1
